"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v","Dlambda,v"
37.8269,74.0,1.69865,-0.13285,634.0,1.35011,21.0902
25.8102,151.0,0.439555,-0.109,619.0,0.801438,9.31672
26.6438,94.0,0.619365,-0.29535,333.0,0.104611,9.81968
22.4486,68.0,0.84867,-0.25615,234.0,0.0171779,7.50034
32.6338,129.0,0.73658,-0.13405,560.0,0.895479,14.6665
24.243,94.0,0.679215,-0.20715,308.0,0.0789248,8.50253
35.9044,96.0,1.15201,-0.47565,576.0,0.510392,18.1724
33.8933,66.0,1.1976,-0.1538,626.0,1.67362,15.4822
34.1789,47.0,1.95795,-0.61185,168.0,0.00052845,14.6486
37.4663,55.0,1.5231,-0.6782,261.0,0.00128825,18.2205
34.9259,135.0,0.63206,-0.34395,413.0,0.0348755,17.2275
13.4867,88.0,0.437845,-0.08676,308.0,0.000511048,3.85273
33.0382,154.0,0.7273,-0.173,565.0,0.249927,15.249
36.8441,66.0,2.03821,-0.41455,407.0,0.0423823,19.574
38.6025,115.0,1.85255,-0.1738,631.0,0.777582,24.3587
30.9175,142.0,0.534425,-0.22,529.0,1.05132,12.9944
40.6416,43.0,2.773,-1.02695,199.0,5.37377e-05,20.2949
10.25,75.0,0.43893,-0.06473,338.0,0.000124956,2.78364
34.5441,117.0,0.846165,-0.2273,528.0,0.994803,16.6579
40.4365,78.0,1.535,-0.1945,435.0,0.249024,26.4958
38.6409,74.0,1.80868,-0.2394,672.0,0.864508,23.7648
29.6532,111.0,1.03704,-0.21835,354.0,0.0536366,12.0853
40.5989,38.0,2.6348,-1.04855,652.0,0.712399,19.9017
22.2821,183.0,0.26872,-0.1526,480.0,0.0214851,7.52593
29.0924,60.0,1.24569,-0.56025,255.0,0.000442273,11.1293
32.8963,56.0,1.4889,-0.6188,259.0,0.0022908,13.6659
34.6149,63.0,1.35485,-0.30255,661.0,1.35463,15.8364
20.8092,55.0,0.9403,-0.24475,243.0,0.0184455,6.61939
33.0967,71.0,1.10165,-0.61185,277.0,9.24454e-05,14.3869
11.5089,67.0,0.4766,-0.11827,235.0,3.13968e-05,3.16636
38.5906,212.0,0.791585,-0.21245,574.0,0.257719,24.4003
