"Tpeak,a","TTP,t,a","dT/dtMax,a","dT/dtMax,a","Tdur,a","Trest,a"
84.6075,105.0,1.8048,-0.54815,391.0,0.0804412
85.7459,88.0,3.20135,-0.3136,580.0,1.38751
224.568,100.0,11.5,-0.876,662.0,1.86701
167.681,114.0,4.79565,-1.21435,375.0,0.050862
151.62,159.0,3.38375,-0.722,513.0,0.179622
163.933,59.0,8.06165,-0.63105,427.0,0.728041
135.367,74.0,4.61125,-1.1026,239.0,0.000447942
65.4955,55.0,3.08105,-0.7721,178.0,0.000400165
136.122,83.0,4.60775,-0.9234,300.0,0.0595329
168.749,161.0,3.19645,-0.7548,513.0,0.808042
87.4522,167.0,2.0744,-0.5972,454.0,0.0269842
197.705,110.0,5.7584,-1.01,420.0,0.754595
51.7835,57.0,2.2753,-0.39915,239.0,0.00763829
96.7355,78.0,3.378,-0.38595,415.0,0.903386
73.4937,187.0,1.44251,-0.45975,483.0,0.00793704
122.855,86.0,4.05725,-0.73915,407.0,0.0179263
178.345,113.0,5.42525,-1.0195,485.0,0.060908
62.4698,105.0,1.4981,-0.46725,325.0,0.00436995
11.4063,66.0,0.41024,-0.11741,229.0,0.00776723
117.126,70.0,5.0801,-0.6979,303.0,0.0354657
227.335,85.0,7.8541,-1.403,383.0,1.04357
136.048,96.0,3.9885,-0.6872,374.0,0.168144
64.8861,67.0,2.78365,-0.37265,301.0,0.0365146
47.6336,115.0,0.95805,-0.29685,394.0,0.0584486
156.285,134.0,3.2941,-1.1645,386.0,0.0266696
94.7231,95.0,3.0531,-0.9147,269.0,9.09381e-06
119.447,45.0,8.8776,-0.64345,350.0,0.178924
48.7376,50.0,2.51415,-0.8226,131.0,0.000606618
74.8664,111.0,1.91845,-0.46595,363.0,0.0665779
82.8232,76.0,3.4026,-0.3993,405.0,0.222065
89.5803,87.0,2.9417,-0.4376,381.0,0.305946
139.046,114.0,3.56075,-0.5684,485.0,0.649287
136.408,84.0,4.61505,-0.8811,305.0,0.0337414
40.8657,54.0,1.94435,-0.58155,154.0,4.37655e-05
157.551,70.0,8.42755,-0.72355,524.0,0.316317
154.273,59.0,8.63835,-1.17325,244.0,0.0048003
127.858,154.0,4.9421,-0.95055,511.0,0.0628865
103.791,107.0,3.74305,-0.61735,417.0,0.21217
121.013,64.0,5.2447,-0.7555,280.0,0.074763
89.3955,128.0,2.25865,-0.4029,541.0,0.0837997
71.4843,88.0,2.09935,-0.27325,451.0,0.783617
169.257,51.0,10.2827,-0.92,336.0,0.420694
24.4852,75.0,0.82876,-0.1713,231.0,0.000912276
91.5267,161.0,3.42505,-0.54375,609.0,0.212152
110.075,72.0,4.84375,-0.8852,264.0,0.00129444
131.225,71.0,5.05045,-0.7539,307.0,0.238459
206.921,97.0,7.17155,-1.222,368.0,0.196807
55.9745,108.0,1.15725,-0.293,412.0,0.00862725
196.215,72.0,9.07575,-1.26765,315.0,0.0436273
19.0379,78.0,0.63493,-0.16685,229.0,1.02304e-05
40.4412,67.0,1.4712,-0.51535,169.0,0.000585066
130.475,88.0,5.96095,-0.76575,508.0,0.0552211
48.1488,109.0,0.9851,-0.33015,331.0,0.00792793
166.589,66.0,8.2402,-1.3315,331.0,0.0413848
196.851,91.0,8.19665,-0.9885,482.0,0.698664
32.9701,131.0,0.7693,-0.2963,291.0,0.00638957
194.996,44.0,17.7102,-1.58595,340.0,0.0201962
25.2506,44.0,1.51852,-0.51945,119.0,0.000976035
226.442,185.0,5.44035,-1.3365,530.0,0.298689
79.3814,120.0,1.80965,-0.36445,485.0,1.05054
47.1425,58.0,2.0748,-0.5364,186.0,0.000642013
82.3227,93.0,2.3298,-0.55035,303.0,0.00226435
103.53,85.0,4.13595,-0.8296,291.0,0.00569746
23.5312,63.0,0.88386,-0.20485,269.0,0.0709966
168.339,69.0,9.3335,-1.54795,348.0,0.0308686
82.2804,50.0,6.2711,-0.32245,503.0,0.747818
108.299,78.0,4.286,-0.6677,326.0,0.0147878
89.8882,120.0,3.28145,-0.6542,413.0,0.0911377
160.775,62.0,7.44995,-1.81595,198.0,0.00207528
150.378,68.0,8.2253,-1.08,321.0,0.104395
94.1726,84.0,3.27865,-0.72385,273.0,0.0616923
46.7942,109.0,1.1279,-0.2349,389.0,0.0444366
167.183,62.0,8.0558,-1.0726,291.0,0.00210148
114.324,72.0,5.48915,-0.4926,436.0,0.303417
62.7761,79.0,1.9014,-0.54525,250.0,0.0139105
127.888,71.0,4.63835,-0.90625,250.0,0.00335286
107.194,69.0,4.0085,-0.7065,273.0,0.0900472
42.7738,63.0,1.6504,-0.4658,198.0,0.00351803
73.1511,132.0,1.78365,-0.4871,393.0,0.0639287
96.7622,65.0,3.7601,-0.4292,341.0,0.309534
151.938,140.0,5.85805,-1.11575,527.0,0.0607639
159.856,68.0,6.64005,-1.1094,290.0,0.0448775
86.7039,149.0,2.34046,-0.3549,577.0,0.390506
130.002,191.0,4.57255,-0.74025,658.0,0.283947
104.529,191.0,2.13785,-0.51405,563.0,0.562239
83.7718,127.0,2.0064,-0.45935,418.0,0.521471
170.099,164.0,3.1668,-0.84685,551.0,1.20106
106.92,127.0,2.082,-0.66205,378.0,0.0423375
174.624,71.0,7.36245,-0.9911,406.0,0.0590133
74.963,97.0,1.84635,-0.54415,301.0,0.00058238
72.6526,95.0,3.1922,-0.2481,616.0,1.4274
51.3699,117.0,0.98735,-0.19505,537.0,0.816353
47.8433,94.0,1.1227,-0.40275,286.0,0.104864
49.8187,66.0,1.8593,-0.50045,216.0,0.0171906
93.3748,94.0,2.5676,-0.3535,474.0,0.911657
57.3439,69.0,2.0399,-0.46935,260.0,0.0790284
180.075,88.0,9.43525,-0.9748,513.0,0.554516
126.274,74.0,4.05495,-0.4392,485.0,1.82588
86.5074,47.0,5.16005,-1.1377,153.0,0.000528457
164.178,75.0,6.3576,-1.1837,257.0,0.00128845
139.552,143.0,3.79515,-0.96865,424.0,0.0351066
25.3463,92.0,0.69512,-0.16555,308.0,0.000513075
77.9636,131.0,2.41935,-0.40005,519.0,0.256258
115.527,50.0,8.6472,-0.8034,410.0,0.0426722
215.95,221.0,3.9484,-0.9615,622.0,0.887268
124.247,105.0,3.02155,-0.5235,433.0,1.08972
114.648,65.0,5.4985,-1.03835,203.0,5.3738e-05
22.0089,87.0,0.64844,-0.14645,341.0,0.000279418
108.615,117.0,2.39905,-0.4996,437.0,1.03425
164.563,81.0,6.3139,-0.7935,381.0,0.250697
98.8242,95.0,6.1234,-0.6578,614.0,0.928349
108.455,81.0,3.8607,-0.60725,320.0,0.0537683
130.711,81.0,6.87505,-0.4502,630.0,0.889379
104.184,211.0,1.0242,-0.73485,412.0,0.0216522
108.024,70.0,4.5063,-0.8271,240.0,0.0004423
109.911,74.0,3.89015,-0.788,244.0,0.00229123
12.6689,156.0,0.17234,-0.02545,846.0,1.41902
74.5625,73.0,3.28535,-0.22025,624.0,1.58347
38.1315,57.0,1.6819,-0.38395,222.0,0.0184554
107.287,88.0,3.6877,-1.0334,255.0,9.24462e-05
20.6697,66.0,0.794645,-0.19485,225.0,3.13979e-05
171.756,143.0,4.17175,-0.92,521.0,0.276475
