"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
70.3236,184.0,0.7402,-0.3146,511.0,0.639628
39.8462,160.0,0.4903,-0.20435,451.0,0.165802
30.7827,191.0,0.2851,-0.131,543.0,1.64046
53.5326,282.0,0.34645,-0.19215,680.0,0.356533
48.8272,184.0,0.4685,-0.2738,498.0,0.0445773
27.469,194.0,0.27145,-0.1158,571.0,0.135808
61.0083,193.0,0.5735,-0.32355,493.0,0.272785
63.4451,199.0,0.5966,-0.2655,585.0,0.573318
101.651,189.0,1.16855,-0.38075,565.0,1.27635
50.4773,150.0,0.65835,-0.31245,392.0,0.0352991
37.1726,195.0,0.36275,-0.2275,416.0,0.115866
43.0679,209.0,0.39195,-0.18195,580.0,0.251652
55.4044,300.0,0.30965,-0.17955,758.0,1.33345
85.8334,143.0,1.19045,-0.65995,321.0,0.00576231
42.2187,165.0,0.4974,-0.2518,395.0,0.208525
35.5993,257.0,0.2426,-0.13285,664.0,0.468664
63.7631,178.0,0.7139,-0.2832,509.0,0.524347
64.7912,135.0,0.93105,-0.37275,404.0,0.277923
38.7215,129.0,0.61735,-0.2818,323.0,0.0494615
33.2857,215.0,0.26705,-0.1141,683.0,1.02592
87.5071,177.0,1.02565,-0.55125,386.0,0.130042
70.2846,234.0,0.594,-0.24595,640.0,1.66459
36.875,169.0,0.3966,-0.1968,440.0,0.0178698
62.1125,187.0,0.59785,-0.3044,491.0,0.185754
69.6968,209.0,0.6159,-0.2781,616.0,0.392215
126.582,162.0,1.6508,-0.50835,548.0,1.26447
78.9654,225.0,0.6395,-0.28945,652.0,0.558027
50.7639,172.0,0.5401,-0.23605,506.0,0.783759
44.0138,171.0,0.47995,-0.27035,414.0,0.0233835
33.0522,176.0,0.3276,-0.1437,600.0,0.196238
62.7667,194.0,0.59835,-0.3618,471.0,0.018037
53.2323,188.0,0.54635,-0.35545,431.0,0.0378041
142.147,204.0,1.67745,-0.75245,481.0,0.156227
122.217,170.0,1.44785,-0.7163,407.0,0.0656949
19.433,154.0,0.24901,-0.10505,430.0,0.17093
43.311,150.0,0.57155,-0.2384,441.0,0.0728673
79.0141,252.0,0.683,-0.2345,705.0,1.58605
85.1342,255.0,0.7392,-0.29545,646.0,0.651338
39.7722,208.0,0.36645,-0.1811,555.0,0.131953
65.9,283.0,0.40645,-0.1893,778.0,1.76568
66.9878,255.0,0.5076,-0.20035,741.0,1.72222
30.024,202.0,0.2792,-0.1339,545.0,0.171652
92.8852,243.0,0.7232,-0.30485,695.0,1.05984
24.5121,162.0,0.26672,-0.15465,422.0,0.00722757
81.5593,160.0,1.02045,-0.40145,457.0,1.23119
78.8337,151.0,0.9446,-0.50495,371.0,0.618155
97.436,202.0,0.9622,-0.45495,490.0,0.328163
137.492,204.0,1.36905,-0.7332,482.0,0.292207
111.24,175.0,1.44325,-0.48565,497.0,0.320937
58.6432,173.0,0.67885,-0.2841,472.0,0.084135
126.284,195.0,1.37645,-0.71895,422.0,0.136561
66.6472,151.0,0.86335,-0.42635,387.0,0.0360816
31.2235,153.0,0.39735,-0.1927,352.0,0.0461281
74.7563,271.0,0.51125,-0.2649,702.0,1.02344
76.6861,200.0,0.8503,-0.3315,532.0,0.269665
37.7963,165.0,0.44255,-0.1401,558.0,0.835786
13.5087,141.0,0.19128,-0.0838,380.0,0.372611
31.3275,219.0,0.2764,-0.1364,553.0,0.768251
89.0731,166.0,1.02195,-0.49895,429.0,0.388405
29.5928,215.0,0.25095,-0.10135,672.0,1.12509
124.931,243.0,1.04995,-0.3898,694.0,1.54755
60.3583,193.0,0.59185,-0.3408,428.0,0.12711
89.1158,175.0,0.93865,-0.35855,589.0,0.651606
34.373,211.0,0.3038,-0.18515,478.0,0.0333232
59.4773,183.0,0.66215,-0.31725,447.0,0.286258
12.322,204.0,0.11756,-0.066535,474.0,0.027726
92.647,174.0,1.06535,-0.4466,475.0,0.191979
43.1058,228.0,0.341,-0.15995,671.0,0.797813
72.4061,229.0,0.6795,-0.2189,694.0,1.46201
58.8984,270.0,0.4555,-0.19155,689.0,0.462582
23.3217,182.0,0.24176,-0.1077,514.0,0.705199
36.3297,110.0,0.66875,-0.23295,361.0,0.909292
44.5579,200.0,0.4302,-0.19965,531.0,0.324295
55.7323,201.0,0.5407,-0.23375,564.0,0.127644
88.1955,172.0,0.9912,-0.4873,437.0,0.11326
104.89,213.0,0.97245,-0.4873,511.0,0.255179
130.929,199.0,1.29715,-0.6248,521.0,0.744774
71.995,156.0,0.8892,-0.35985,451.0,1.27474
45.9591,169.0,0.56165,-0.16645,597.0,0.646573
36.4566,271.0,0.2252,-0.1048,772.0,1.75978
59.1354,150.0,0.7877,-0.4472,322.0,0.0244471
20.0738,247.0,0.14893,-0.0675,721.0,0.449707
31.5184,226.0,0.24785,-0.0968,723.0,1.66024
37.0767,186.0,0.4009,-0.16925,502.0,0.667486
54.0691,215.0,0.475,-0.1874,669.0,0.522377
105.892,204.0,0.9799,-0.5916,459.0,0.0948111
50.1658,172.0,0.56755,-0.2492,466.0,0.103242
49.1758,133.0,0.721,-0.27175,406.0,0.680835
87.2994,247.0,0.67095,-0.3161,651.0,0.657882
47.0587,189.0,0.4808,-0.17985,599.0,0.429134
23.4746,225.0,0.187145,-0.10065,584.0,0.0871858
44.7303,177.0,0.4851,-0.21825,500.0,0.331517
48.0366,159.0,0.5759,-0.2596,427.0,0.0730804
99.8124,260.0,0.79195,-0.3697,643.0,0.298793
129.263,235.0,1.1201,-0.6175,508.0,0.051395
19.9763,125.0,0.332415,-0.2097,234.0,0.0046275
42.6054,220.0,0.3753,-0.2206,481.0,0.0861412
87.7705,178.0,0.9833,-0.3981,510.0,0.651044
52.3674,185.0,0.54835,-0.2376,537.0,0.686401
88.2643,155.0,1.1644,-0.4392,472.0,1.32575
50.0031,162.0,0.66165,-0.28015,402.0,0.129045
36.2888,195.0,0.3579,-0.15605,545.0,0.917073
44.2425,265.0,0.33115,-0.14035,694.0,0.330173
21.2133,150.0,0.280315,-0.1572,318.0,0.0129698
38.0,169.0,0.4512,-0.26615,345.0,0.0287705
90.9564,226.0,0.75925,-0.3501,614.0,0.778029
91.1961,242.0,0.7476,-0.3312,630.0,0.257206
16.3941,169.0,0.189535,-0.08335,486.0,0.207893
44.8996,227.0,0.3853,-0.20975,508.0,0.120782
92.3676,123.0,1.65055,-0.4143,470.0,1.87509
22.4121,164.0,0.267495,-0.11285,489.0,0.208963
56.1626,237.0,0.4247,-0.1875,696.0,1.52337
71.2308,201.0,0.6276,-0.2943,635.0,0.399481
80.116,154.0,1.0785,-0.382,461.0,0.250905
42.0916,167.0,0.49415,-0.165,553.0,1.41027
111.682,176.0,1.39585,-0.5386,460.0,0.248351
63.4773,156.0,0.7917,-0.33775,448.0,0.290746
22.5478,185.0,0.22925,-0.0767,689.0,0.490685
54.2244,207.0,0.48225,-0.2207,597.0,0.467583
98.4136,251.0,0.74665,-0.4007,603.0,0.62278
59.5823,154.0,0.8178,-0.3606,371.0,0.210137
103.923,175.0,1.1096,-0.59905,425.0,0.191544
80.2572,197.0,0.76845,-0.35645,551.0,0.420666
74.3158,124.0,1.2285,-0.6325,275.0,0.0217558
33.7786,199.0,0.32955,-0.19575,427.0,0.0466732
56.0343,154.0,0.72695,-0.4213,340.0,0.0680645
112.253,152.0,1.39285,-0.62485,412.0,0.615439
56.6975,188.0,0.58685,-0.25115,524.0,0.334271
53.1097,159.0,0.65085,-0.23905,494.0,1.22979
76.077,161.0,0.93265,-0.4805,379.0,0.0801816
93.4216,206.0,0.84645,-0.3891,578.0,0.978721
130.59,237.0,0.9998,-0.46195,685.0,0.94811
74.6391,197.0,0.6974,-0.46035,427.0,0.04961
81.4612,188.0,0.86135,-0.397,489.0,0.0557487
63.4221,159.0,0.76985,-0.2729,542.0,1.3372
31.0676,143.0,0.43355,-0.20085,379.0,0.268474
82.2225,162.0,1.0203,-0.3883,494.0,0.866064
32.2277,168.0,0.3876,-0.19905,383.0,0.114521
104.74,273.0,0.7145,-0.4767,580.0,0.094419
56.0917,174.0,0.60735,-0.2658,511.0,0.538048
62.6,226.0,0.5186,-0.26105,581.0,0.427734
162.873,248.0,1.22775,-0.603,677.0,1.2937
71.3176,252.0,0.51435,-0.2357,699.0,1.13917
23.245,147.0,0.31242,-0.09575,588.0,0.134303
83.1559,208.0,0.76575,-0.47875,447.0,0.16286
16.0783,259.0,0.10732,-0.04025,806.0,1.3126
24.2605,203.0,0.227515,-0.09885,558.0,0.61528
61.4265,150.0,0.80085,-0.379,375.0,0.0965122
57.7427,194.0,0.59375,-0.24635,523.0,0.444976
78.9245,191.0,0.8488,-0.42015,453.0,0.0654083
