PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
8.03528e-05,0.929538,0.0570121,0.00180539,0.328933,0.0522184,1.33978,0.0288684,0.000966437,0.221666,167.079,0.187719,2.92856,2.7841,0.077325,0.321757,0.258261,16.7887,0.0188702,-2.32659,2.96535,0.00563897,0.528289,2.52842,0.850735,6.4313,2.80362
0.000103198,1.07323,0.0877148,0.00319215,0.389802,0.0346112,1.2434,0.0257082,0.000790018,0.163087,132.942,0.468298,2.76774,1.21547,0.092351,0.136822,0.489913,34.4288,0.0301626,-3.14741,2.87008,0.00986609,0.837813,2.65756,1.15154,5.47229,3.47
0.000111248,0.823208,0.0703403,0.00158939,0.672297,0.0498597,1.21063,0.0499619,0.000893871,0.202527,132.363,0.367085,2.1859,2.57634,0.12148,0.253692,0.664532,16.6603,0.0276697,-1.65876,2.18158,0.005122,0.323809,2.84488,0.908588,7.88207,1.61587
0.000134032,0.998214,0.102783,0.00131443,0.483513,0.0681656,1.57973,0.0541741,0.000642224,0.15058,127.141,0.386031,1.50766,2.29425,0.111662,0.161275,0.465857,17.6269,0.0195002,-2.52004,1.44351,0.00943985,0.748857,2.58955,0.678385,9.18758,3.11405
0.000123637,1.05228,0.0938815,0.00123986,0.262967,0.0549605,1.28593,0.0377126,0.000968762,0.212968,117.323,0.406418,2.72363,2.69865,0.101784,0.222943,0.380407,35.234,0.017475,-3.28194,2.17652,0.00603483,0.391022,3.24278,0.984137,5.42426,3.49205
6.62647e-05,1.10572,0.0867002,0.00121511,0.320476,0.0449397,1.24879,0.0324324,0.000429074,0.106172,111.553,0.435104,1.12268,2.59148,0.0862672,0.372511,0.352045,23.1639,0.0285794,-1.40842,1.80758,0.0078134,0.342896,2.27151,0.773701,3.95973,4.31871
0.000108024,1.42872,0.0963858,0.00176471,0.562322,0.0311896,1.24187,0.0300802,0.000883191,0.172279,70.2083,0.175696,1.73645,2.32433,0.143243,0.131029,0.628789,19.3134,0.0116437,-3.15239,2.54115,0.0120554,0.430424,1.72138,0.763706,3.56709,3.09237
8.61174e-05,1.3349,0.0654138,0.0029208,0.238937,0.027824,0.584001,0.0321666,0.00100571,0.192972,87.4158,0.178223,2.3377,2.50968,0.0562155,0.373654,0.350852,32.506,0.0224788,-1.93399,2.12162,0.00796045,0.564511,3.07564,0.48838,7.7352,2.83091
0.000125022,1.17022,0.0699258,0.0023677,0.623753,0.0375247,1.34533,0.0557096,0.000909508,0.142043,79.788,0.475405,1.36128,2.06502,0.0963385,0.318,0.595183,22.6556,0.0251751,-1.32035,2.86568,0.00959693,0.34017,2.4841,0.992994,10.4358,3.97823
0.000136645,1.46602,0.092231,0.00277464,0.561064,0.0364331,1.05781,0.0533504,0.000442615,0.17957,119.036,0.493093,2.9466,1.65485,0.116113,0.232904,0.425506,33.2112,0.0189053,-3.52598,3.18048,0.00903194,0.414838,1.11982,1.08743,5.81284,4.08186
