"Tpeak,a","TTP,t,a","dT/dtMax,a","dT/dtMax,a","Tdur,a","Trest,a"
20.878,90.0,0.50703,-0.1987,296.0,0.0500957
18.7099,59.0,0.76525,-0.2308,192.0,0.00433123
60.1854,91.0,1.59745,-0.2673,412.0,0.450334
32.2925,67.0,1.172,-0.28485,250.0,0.0430624
150.136,103.0,6.1788,-0.94695,404.0,0.222714
140.402,69.0,7.14795,-1.0478,279.0,0.008724
68.4863,76.0,2.05425,-0.361,391.0,0.370287
51.8809,45.0,3.0991,-0.87705,130.0,0.000205848
71.3888,64.0,2.6908,-0.89305,172.0,5.4414e-05
108.421,101.0,2.90305,-0.8516,298.0,0.000642647
55.9643,114.0,1.471,-0.34785,383.0,0.0227514
84.8047,51.0,5.73,-0.6908,254.0,0.000568103
154.448,183.0,2.81515,-0.83115,505.0,0.112644
71.8467,99.0,1.64095,-0.393,351.0,0.381157
58.5144,54.0,2.817,-0.92025,138.0,4.31005e-06
128.095,114.0,4.107,-0.7157,577.0,0.893778
63.3706,101.0,1.40765,-0.38745,356.0,0.306053
123.495,74.0,4.6349,-0.6361,326.0,0.10289
120.632,59.0,6.4187,-0.7953,241.0,0.0167894
132.136,100.0,5.3349,-0.77335,412.0,0.217447
79.1217,86.0,4.4955,-0.64195,474.0,0.108387
114.919,59.0,5.0367,-0.45155,422.0,1.14538
61.6156,71.0,2.1801,-0.4724,252.0,0.0125418
71.7508,61.0,3.33335,-0.3842,286.0,0.0142994
117.11,68.0,4.87215,-0.633,328.0,0.861982
17.1721,59.0,0.748955,-0.2347,177.0,1.39997e-05
20.8998,70.0,0.73776,-0.2234,195.0,0.00025429
48.0757,72.0,1.7211,-0.24045,352.0,0.220293
14.6715,57.0,0.633525,-0.1772,197.0,0.00695709
32.361,80.0,1.01565,-0.33,230.0,1.2253e-05
147.215,127.0,3.32915,-0.802,466.0,0.0902517
149.213,51.0,8.56855,-0.8451,275.0,0.113562
36.9667,65.0,1.37285,-0.1921,412.0,0.274273
68.5827,62.0,2.92775,-0.34525,327.0,0.117138
133.062,75.0,5.3616,-0.58645,494.0,0.865518
93.5546,84.0,3.0802,-0.4834,379.0,0.523602
83.0396,89.0,2.55245,-0.47285,324.0,0.0321397
31.9463,58.0,1.3829,-0.2001,278.0,0.0417292
55.1742,73.0,1.8667,-0.2932,294.0,0.138052
156.616,97.0,5.1693,-0.926,426.0,0.0231498
20.348,188.0,0.15983,-0.15075,390.0,0.0483195
57.2741,56.0,2.5094,-0.572,226.0,0.192684
58.9227,81.0,1.79525,-0.252,395.0,0.25715
78.3745,92.0,2.53725,-0.48385,328.0,0.0416864
25.5264,80.0,0.78408,-0.20345,247.0,0.000326978
149.375,66.0,8.68235,-1.1065,419.0,0.00992562
58.9903,86.0,1.7303,-0.40765,296.0,0.0355458
88.6378,105.0,2.47775,-0.5142,357.0,0.0120254
34.6917,135.0,0.5793,-0.3856,270.0,0.000540381
29.743,70.0,1.02175,-0.2393,263.0,0.0547387
15.6424,139.0,0.2431,-0.110685,340.0,0.00396171
16.2149,82.0,0.470515,-0.10885,264.0,0.00398654
140.546,163.0,2.83465,-0.6321,537.0,0.937183
35.9497,76.0,1.09395,-0.18625,323.0,0.0354105
34.8178,87.0,1.1644,-0.15035,513.0,0.538486
105.161,81.0,3.0283,-0.6125,310.0,0.134286
72.6094,98.0,2.60125,-0.44225,402.0,0.00346595
59.671,77.0,1.9142,-0.45695,247.0,3.47001e-05
10.8231,63.0,0.422455,-0.145185,187.0,0.00060795
21.2297,69.0,0.71702,-0.2261,210.0,0.00515145
24.241,111.0,0.51288,-0.1224,420.0,0.0335453
67.9452,51.0,3.63055,-0.45625,235.0,0.0083331
45.3815,83.0,1.32835,-0.1699,464.0,0.467441
101.534,125.0,2.8131,-0.3516,600.0,1.39187
53.5097,84.0,1.5829,-0.45785,277.0,0.000247018
109.092,110.0,2.9925,-0.5912,387.0,0.139487
94.392,78.0,4.0744,-0.57635,386.0,0.0309571
132.972,73.0,4.93995,-0.8905,273.0,0.00271804
110.73,105.0,3.73285,-0.49935,474.0,0.551133
68.2041,101.0,1.4592,-0.5837,298.0,0.0319849
29.3763,66.0,1.0761,-0.4013,218.0,0.00083527
140.207,102.0,4.91265,-0.69145,457.0,0.559761
109.063,103.0,2.99325,-0.59795,458.0,0.563172
114.724,96.0,3.29285,-0.701,371.0,0.041272
136.042,102.0,3.3207,-0.90435,331.0,0.121064
42.6322,80.0,1.23965,-0.2792,290.0,0.0750647
103.313,104.0,2.65225,-0.461,530.0,1.3209
11.392,144.0,0.19998,-0.080475,359.0,0.0322068
78.4963,119.0,1.5157,-0.2725,573.0,0.398632
53.3791,140.0,0.8911,-0.30235,446.0,0.0391918
103.519,71.0,5.86975,-0.4929,505.0,0.472356
116.086,72.0,4.62745,-0.51645,395.0,0.125924
82.2697,68.0,3.35705,-0.8272,236.0,0.00015394
48.1129,57.0,2.3156,-0.22735,323.0,0.0511736
108.334,64.0,5.0446,-0.50135,354.0,0.177432
35.4644,97.0,0.8712,-0.22135,325.0,0.0300034
81.9837,110.0,1.80285,-0.2861,592.0,0.380525
40.923,101.0,0.95365,-0.2524,299.0,0.0265315
46.6773,56.0,2.1608,-0.2882,283.0,0.0328598
112.64,70.0,3.921,-1.1163,214.0,0.00235731
166.67,83.0,5.92305,-0.9365,437.0,0.189715
103.719,74.0,4.70685,-1.16035,205.0,0.00101115
15.8057,65.0,0.611445,-0.1887,186.0,1.0778e-07
65.2762,69.0,2.32825,-0.71995,184.0,6.36424e-06
58.1956,79.0,1.78855,-0.22105,441.0,0.338803
35.1869,71.0,1.18755,-0.15585,397.0,0.170848
57.7089,69.0,2.2553,-0.5317,212.0,0.00561661
127.726,104.0,4.13545,-1.0394,335.0,0.0131319
84.2433,162.0,1.3123,-0.3935,515.0,0.581829
48.1519,70.0,1.69355,-0.2771,276.0,0.00992421
40.1736,81.0,1.14065,-0.2012,375.0,0.1466
104.279,74.0,3.8946,-0.4312,486.0,0.533272
42.953,74.0,1.46075,-0.17105,449.0,0.177683
54.144,81.0,2.01755,-0.3442,287.0,0.00974037
96.9042,66.0,4.3212,-0.94915,198.0,1.81702e-05
47.0755,87.0,1.37425,-0.316,306.0,0.000329479
77.7126,59.0,3.5129,-0.2754,488.0,0.985998
25.9902,91.0,0.60297,-0.19845,301.0,0.00111325
72.5647,63.0,2.9522,-0.79605,189.0,1.81279e-05
24.1652,60.0,1.00514,-0.17475,297.0,0.0490328
95.9775,83.0,3.2179,-0.61305,355.0,0.249997
55.3933,130.0,1.051,-0.25205,462.0,0.296524
125.715,150.0,4.0074,-0.9233,448.0,0.0503803
147.402,76.0,6.32405,-1.04195,348.0,0.0176373
72.986,77.0,2.50555,-0.4686,290.0,0.0542881
176.086,110.0,7.0385,-1.5215,345.0,0.0503457
82.2882,65.0,3.5364,-0.6453,227.0,0.000126295
56.7782,92.0,1.66235,-0.26425,380.0,0.150546
88.8076,49.0,5.15165,-0.65225,231.0,0.0398662
57.7259,76.0,2.0176,-0.2036,488.0,0.607265
67.8125,87.0,1.86805,-0.5179,251.0,0.000757889
53.075,73.0,1.8932,-0.33685,253.0,0.00895748
95.1401,80.0,2.8811,-0.719,281.0,0.0630706
133.369,90.0,3.97465,-0.7672,384.0,0.304634
60.7631,82.0,1.81475,-0.3687,325.0,0.171966
130.929,132.0,3.01985,-0.9164,375.0,0.00870742
29.1064,67.0,1.10176,-0.2263,215.0,0.000355607
128.264,101.0,4.47335,-0.81165,359.0,0.0539088
118.144,76.0,4.89295,-0.6577,341.0,0.0753277
112.497,87.0,4.88355,-0.73075,423.0,0.0812978
168.775,119.0,7.65655,-0.821,598.0,0.344903
101.062,73.0,3.38585,-1.006,237.0,0.000811094
50.5227,89.0,1.60085,-0.2322,404.0,0.207323
79.6952,101.0,1.96015,-0.3834,399.0,0.346901
64.1052,86.0,2.20305,-0.34565,331.0,0.093002
63.6556,119.0,1.2385,-0.22405,595.0,1.45041
79.1637,78.0,3.6287,-0.4773,362.0,0.114593
43.5493,60.0,1.83825,-0.4699,206.0,2.94858e-05
21.3266,82.0,0.58736,-0.19415,273.0,0.00778439
71.2152,80.0,2.8505,-0.47145,422.0,0.165624
50.5254,58.0,2.367,-0.21075,429.0,0.327507
139.932,77.0,6.67635,-1.1057,281.0,0.00148675
16.2702,67.0,0.54445,-0.18495,220.0,0.000381166
98.5345,144.0,1.4731,-0.3417,646.0,0.871028
64.9623,107.0,1.52355,-0.36215,448.0,0.602832
88.2128,54.0,5.33675,-0.3584,417.0,0.618185
115.486,112.0,2.8792,-0.6958,374.0,0.15357
67.7022,83.0,2.39815,-0.2838,469.0,0.103939
39.1903,95.0,0.88485,-0.25665,334.0,0.00419665
26.6299,62.0,1.00298,-0.29135,198.0,0.000522108
131.523,64.0,7.40585,-0.7815,462.0,1.09792
123.471,79.0,4.2701,-1.10545,245.0,0.000168843
139.377,108.0,3.7764,-0.9217,344.0,0.0452701
17.2615,58.0,0.735565,-0.12555,258.0,0.0110488
14.4162,55.0,0.691615,-0.2524,134.0,2.60791e-05
11.8908,68.0,0.427345,-0.08052,255.0,0.00421852
94.3972,163.0,1.82595,-0.42335,642.0,0.537934
77.2599,184.0,1.7276,-0.3939,603.0,0.42985
79.4376,71.0,2.96985,-0.4342,300.0,0.138797
77.2317,84.0,2.5281,-0.5771,266.0,0.00960934
70.4526,75.0,2.2211,-0.70245,234.0,3.04277e-05
43.5898,82.0,1.2532,-0.34165,241.0,0.0027491
54.2548,91.0,1.5044,-0.2143,435.0,0.630658
164.917,79.0,5.75985,-1.06235,310.0,0.52024
82.8195,71.0,3.3432,-0.3338,411.0,0.953127
175.272,70.0,9.97895,-1.02515,534.0,1.255
17.6999,54.0,0.82561,-0.19925,209.0,0.000178881
17.6761,58.0,0.74575,-0.21635,189.0,0.0165362
55.0377,68.0,2.01825,-0.5159,198.0,4.2213e-05
86.042,56.0,4.23415,-0.5295,251.0,0.0173644
74.4427,70.0,4.13915,-0.5301,309.0,0.0152286
57.1012,68.0,2.05525,-0.55165,212.0,0.00293643
11.236,76.0,0.34554,-0.0973,306.0,0.00520062
102.212,133.0,2.0244,-0.6506,422.0,0.122506
154.327,141.0,5.1067,-1.1433,450.0,0.0451223
106.294,119.0,3.5868,-0.7681,390.0,0.0574911
123.206,96.0,4.24385,-0.64805,416.0,1.52188
103.413,141.0,2.4203,-0.67975,427.0,0.0203973
82.5473,64.0,3.65435,-0.5743,247.0,0.0149526
13.9184,165.0,0.149145,-0.156225,296.0,0.000989641
47.4537,78.0,1.4514,-0.2484,310.0,0.0819624
19.9489,68.0,0.712135,-0.21805,210.0,0.00139134
44.6241,79.0,1.37375,-0.21735,334.0,0.117852
72.3449,67.0,2.678,-0.58925,253.0,0.130877
23.6425,51.0,1.14893,-0.26235,228.0,0.0444041
124.88,96.0,3.4262,-0.7324,339.0,0.181256
124.202,126.0,4.28385,-0.84465,466.0,0.2376
72.8462,101.0,3.46615,-0.4026,517.0,0.111226
50.499,114.0,1.02455,-0.20815,525.0,0.0955648
59.4935,79.0,1.8698,-0.59395,263.0,0.000852358
38.4593,83.0,1.1498,-0.1867,356.0,0.121004
101.71,68.0,3.86605,-0.86345,241.0,0.00614279
81.5549,85.0,2.6942,-0.7034,285.0,0.0704576
75.6596,93.0,2.3227,-0.55585,352.0,0.00346263
76.9789,107.0,1.91015,-0.4089,447.0,0.0635245
141.291,91.0,4.26755,-0.74935,362.0,0.121641
104.337,90.0,3.11615,-0.56515,336.0,0.0840234
45.7009,74.0,1.43785,-0.305,331.0,0.271573
53.363,109.0,1.1701,-0.2123,539.0,0.157826
121.57,62.0,5.86105,-0.7879,304.0,0.0120184
50.2314,43.0,3.21305,-0.6915,163.0,0.00254137
87.7732,63.0,3.5001,-0.43345,350.0,0.236244
52.161,62.0,2.1687,-0.64135,176.0,0.000167488
24.1631,70.0,0.886795,-0.10905,365.0,0.0340693
81.6168,63.0,3.2789,-0.65685,234.0,0.0293927
29.2866,69.0,1.05642,-0.26115,245.0,0.000181829
56.1494,65.0,2.4893,-0.3145,282.0,0.00899406
66.5305,65.0,3.40515,-0.2517,543.0,0.343401
55.0244,147.0,1.43225,-0.22825,546.0,0.337595
51.9955,68.0,1.98205,-0.2257,367.0,0.191977
70.7235,103.0,1.9667,-0.32295,421.0,0.660113
53.0358,109.0,1.32765,-0.3234,353.0,0.00227853
100.768,50.0,5.6435,-0.7602,234.0,0.0142651
38.5037,77.0,1.16855,-0.3503,258.0,0.000515725
129.742,75.0,5.33015,-1.17015,264.0,0.00337073
115.647,126.0,3.5554,-0.64455,474.0,0.0200482
81.6572,69.0,3.72815,-0.26475,554.0,1.08851
128.135,56.0,6.8187,-0.5877,346.0,0.108543
123.462,147.0,2.49185,-0.69305,422.0,0.930935
60.8063,57.0,3.80865,-0.38245,481.0,0.216541
60.1743,104.0,1.3714,-0.2933,414.0,0.00501856
95.4908,79.0,4.8789,-0.46335,490.0,0.420401
149.041,70.0,6.601,-0.8317,370.0,0.153582
91.4149,92.0,3.1555,-0.49445,364.0,0.0473449
124.149,129.0,3.39815,-0.65495,527.0,1.27868
10.2335,68.0,0.343065,-0.08007,312.0,0.0698555
28.0742,86.0,0.7773,-0.1615,310.0,0.0560852
110.779,66.0,4.33575,-0.81595,250.0,0.264964
158.463,73.0,7.79225,-1.09175,382.0,0.193045
167.977,128.0,5.25565,-0.8955,472.0,0.34092
18.1836,69.0,0.634405,-0.1592,268.0,0.00880449
30.8179,143.0,0.53946,-0.11275,662.0,0.328843
112.981,66.0,4.43225,-1.173,198.0,0.0336337
51.9804,153.0,1.04372,-0.25215,490.0,0.0190317
62.8692,85.0,1.76565,-0.2488,449.0,0.655534
109.829,68.0,4.93955,-0.6594,331.0,0.0370321
143.595,92.0,4.4846,-0.6337,426.0,0.348387
120.852,143.0,2.1295,-0.86605,346.0,0.0165859
26.9767,90.0,0.75775,-0.1921,305.0,0.000267567
41.1735,58.0,1.69385,-0.8528,130.0,1.37271e-06
130.442,88.0,4.34395,-0.7929,313.0,0.0868065
113.195,75.0,4.542,-0.5624,345.0,0.115857
76.9824,48.0,4.63895,-0.6537,198.0,0.00141161
98.1679,103.0,3.09865,-0.5305,416.0,0.282736
87.8774,143.0,1.8042,-0.56545,441.0,0.0968424
153.967,67.0,6.88775,-1.0065,268.0,0.0198667
87.9398,59.0,3.91855,-1.1754,151.0,0.000137151
17.2358,85.0,0.51381,-0.116265,326.0,0.0166462
155.092,101.0,5.75455,-0.6863,478.0,0.966424
68.1691,58.0,2.91105,-0.6663,220.0,0.0651024
63.9074,118.0,1.6361,-0.4693,360.0,0.000624815
115.152,109.0,3.33995,-0.667,374.0,0.0510974
40.1975,55.0,1.8842,-0.63475,134.0,1.76722e-05
46.6513,85.0,1.35325,-0.30815,273.0,0.00335264
42.6526,60.0,1.81625,-0.42215,200.0,0.0149533
18.8244,87.0,0.50667,-0.12435,288.0,0.0243733
27.7751,78.0,0.810575,-0.21905,286.0,0.0135557
19.4901,75.0,0.61207,-0.16645,239.0,0.00644534
122.929,55.0,6.6633,-0.4951,435.0,0.31304
68.0592,57.0,3.15325,-1.18245,126.0,3.63431e-06
11.0416,58.0,0.4637,-0.122355,283.0,0.0276181
150.127,100.0,5.17255,-1.43435,288.0,0.000136238
53.8535,106.0,1.28105,-0.20115,584.0,0.241085
38.3664,66.0,1.3701,-0.4675,221.0,0.00970601
151.639,51.0,9.5834,-0.93045,294.0,0.272766
85.6664,54.0,6.6951,-0.8602,299.0,0.001863
99.0803,69.0,3.46655,-0.8448,247.0,0.120649
46.3413,109.0,1.26548,-0.2676,367.0,0.00596
58.6716,59.0,2.44225,-0.65625,195.0,0.00197158
72.8258,83.0,2.2483,-0.3239,404.0,0.239893
63.4835,118.0,1.50025,-0.3646,392.0,0.0239679
58.1842,99.0,1.4111,-0.2285,535.0,1.05336
81.2785,132.0,1.58985,-0.37255,486.0,0.123376
106.822,62.0,4.42775,-0.5187,313.0,0.044362
56.1335,86.0,1.61145,-0.39955,248.0,0.00206657
151.927,66.0,7.2634,-0.85475,318.0,1.09366
62.2255,96.0,1.61725,-0.41555,310.0,0.0219479
63.0672,43.0,4.1446,-1.24975,113.0,9.22483e-06
75.6571,74.0,2.8421,-0.8151,200.0,0.000419966
53.0429,69.0,1.81125,-0.77085,163.0,9.10918e-05
78.6075,61.0,3.28715,-1.0028,164.0,0.000447096
97.7665,64.0,4.40705,-0.7049,236.0,0.00291635
87.3615,71.0,3.063,-0.46805,342.0,0.232234
100.505,75.0,3.26715,-0.6797,274.0,0.0869075
82.9619,56.0,3.81955,-0.64255,253.0,0.0285665
86.2924,107.0,2.0317,-0.2909,591.0,1.91043
77.9716,74.0,3.2536,-0.4588,317.0,0.014138
104.87,128.0,2.82885,-0.4712,498.0,0.113433
53.2044,143.0,0.9716,-0.1868,633.0,1.12812
36.7151,55.0,1.75935,-0.3342,208.0,0.00104899
43.4962,69.0,1.5911,-0.33275,236.0,0.0032667
94.3028,71.0,3.29125,-0.502,298.0,0.0722683
120.588,75.0,4.81755,-0.6131,376.0,0.304595
31.51,145.0,0.4678,-0.255,308.0,0.00296154
